pair,actor_gender,pain_pain,pain_nopain,pain_delta,valence_pain,valence_nopain,valence_delta,arousal_pain,arousal_nopain,arousal_delta,dominance_pain,dominance_nopain,dominance_delta,score
62,1.0,8.37,2.31,6.06,2.84,4.37,-1.53,7.71,2.52,5.19,2.58,7.95,-5.37,4.25
46,2.0,7.03,1.39,5.65,3.15,4.56,-1.42,6.08,2.02,4.06,4.42,7.85,-3.44,4.13
58,2.0,6.34,1.26,5.08,3.4,4.52,-1.11,5.87,1.63,4.24,4.39,8.0,-3.61,3.97
41,2.0,6.66,1.52,5.15,3.15,4.34,-1.19,6.23,1.84,4.39,4.26,7.97,-3.71,3.7
50,1.0,6.23,1.31,4.92,3.29,4.27,-0.98,5.92,1.82,4.1,4.55,7.82,-3.27,3.47
59,2.0,6.18,1.4,4.77,3.35,4.47,-1.11,5.74,1.89,3.85,4.79,8.13,-3.34,2.76
47,2.0,6.11,1.48,4.63,3.45,4.32,-0.87,5.65,1.65,4.0,4.6,8.08,-3.48,2.62
39,2.0,6.39,1.58,4.81,3.4,4.1,-0.69,6.0,2.11,3.89,4.69,8.02,-3.32,2.47
67,1.0,8.08,2.48,5.6,1.55,4.15,-2.6,7.19,2.65,4.55,3.39,7.42,-4.03,2.43
56,2.0,6.23,1.47,4.76,3.31,5.69,-2.39,6.11,2.55,3.56,4.55,7.9,-3.35,2.2
51,2.0,5.97,1.45,4.52,3.37,4.77,-1.4,5.58,1.98,3.6,4.34,7.84,-3.5,1.99
26,2.0,6.13,1.58,4.55,3.11,4.18,-1.06,6.1,2.52,3.58,4.87,7.9,-3.03,1.74
10,1.0,6.34,1.63,4.71,3.06,4.76,-1.69,5.76,2.26,3.5,4.81,7.9,-3.1,1.72
38,2.0,6.27,1.66,4.61,3.32,4.42,-1.1,5.84,2.29,3.55,4.45,7.81,-3.35,1.6
55,2.0,5.63,1.34,4.29,3.32,4.55,-1.23,5.31,2.1,3.21,4.52,7.85,-3.34,1.42
61,1.0,6.39,1.85,4.53,3.08,4.31,-1.23,5.98,2.27,3.71,4.23,8.05,-3.82,1.32
60,2.0,5.18,1.23,3.95,3.61,4.16,-0.55,5.21,1.98,3.23,4.89,8.15,-3.26,1.28
6,2.0,5.69,1.5,4.19,2.4,4.21,-1.81,5.32,1.9,3.42,5.58,8.06,-2.48,1.26
29,1.0,5.79,1.65,4.15,3.48,4.02,-0.53,5.97,2.32,3.65,4.34,7.89,-3.55,1.21
9,1.0,6.35,1.81,4.55,3.24,4.58,-1.34,6.02,2.53,3.48,4.37,7.63,-3.26,1.13
11,1.0,5.92,1.6,4.32,3.45,4.24,-0.79,5.47,2.13,3.34,4.56,7.85,-3.29,1.1
48,2.0,5.85,1.53,4.32,3.81,4.9,-1.1,5.32,2.1,3.23,5.0,7.69,-2.69,1.08
27,2.0,5.82,1.53,4.29,3.47,4.15,-0.68,5.32,2.1,3.23,4.92,7.92,-3.0,1.04
17,2.0,6.32,1.76,4.56,3.47,4.87,-1.4,5.9,2.58,3.32,4.45,7.92,-3.47,1.02
21,1.0,5.61,1.58,4.03,3.52,3.89,-0.37,5.58,2.1,3.48,4.6,7.87,-3.27,0.98
44,2.0,5.32,1.39,3.94,3.53,4.35,-0.82,5.37,2.13,3.24,5.1,7.58,-2.48,0.94
3,1.0,6.55,2.02,4.53,3.27,4.4,-1.13,6.42,2.77,3.65,3.85,7.65,-3.79,0.89
12,1.0,5.73,1.6,4.13,3.6,4.31,-0.71,5.58,2.31,3.27,4.66,7.73,-3.06,0.78
1,1.0,5.95,1.71,4.24,3.19,4.45,-1.26,5.66,2.44,3.23,4.53,7.89,-3.35,0.61
37,1.0,5.95,1.74,4.21,3.1,4.98,-1.89,5.58,2.29,3.29,4.73,7.63,-2.9,0.59
8,1.0,6.15,1.79,4.35,3.68,4.95,-1.27,5.66,2.44,3.23,4.63,7.37,-2.74,0.57
45,2.0,5.34,1.47,3.87,3.42,4.6,-1.18,5.23,2.08,3.15,4.76,7.85,-3.1,0.56
